sku,brand,category,name,previous_price,sale_price,promo,case_qty
MMM30662,3M,Abrasives & Sanding,3M Trizact Hookit Foam Disc P5000 6in,159.99,109.99,,4
MMM30671,3M,Abrasives & Sanding,3M Hookit Purple Finishing Disc 6in P600,79.99,64.99,,
MMM30766,3M,Abrasives & Sanding,3M Hookit Purple Finishing Disc 6in P2000,106.99,69.99,,4
MMM30767,3M,Abrasives & Sanding,3M Hookit Purple Finishing Disc 6in P1500,106.99,69.99,,4
MMM02021,3M,Abrasives & Sanding,3M Wetordry Abrasive Sheet P1000,85.99,64.99,,5
MMM02022,3M,Abrasives & Sanding,3M Wetordry Abrasive Sheet P1200,74.99,64.99,,5
MMM02023,3M,Abrasives & Sanding,3M Wetordry Abrasive Sheet P1500,74.99,64.99,,5
MMM02035,3M,Abrasives & Sanding,3M Wetordry Abrasive Sheet P800,85.99,69.99,,5
MMM02036,3M,Abrasives & Sanding,3M Wetordry Abrasive Sheet P600,85.99,69.99,,5
MMM02038,3M,Abrasives & Sanding,3M Wetordry Abrasive Sheet P400,85.99,69.99,,5
MMM02044,3M,Abrasives & Sanding,3M Wetordry Abrasive Sheet P2000,85.99,64.99,,5
MMM02045,3M,Abrasives & Sanding,3M Wetordry Abrasive Sheet P2500,85.99,64.99,,5
MMM02085,3M,Abrasives & Sanding,3M 6in Trizact Hookit Foam Disc P3000,180.99,139.99,,4
MMM02087,3M,Abrasives & Sanding,3M 3in Trizact Hookit Foam Disc P3000,91.99,74.99,,6
MMM30362,3M,Abrasives & Sanding,3M Trizact Hookit Foam Disc P5000 3in,69.99,59.99,,4
MMM30366,3M,Abrasives & Sanding,3M Hookit Purple Finishing Film Disc 3in P2000,69.99,49.99,,4
MMM30367,3M,Abrasives & Sanding,3M Hookit Purple Finishing Film Disc 3in P1500,69.99,49.99,,4
MMM30666,3M,Abrasives & Sanding,3M Hookit Purple Finishing Film Disc 6in P2000,79.99,64.99,,4
MMM30667,3M,Abrasives & Sanding,3M Hookit Purple Finishing Film Disc 6in P1500,79.99,64.99,,4
MMM30668,3M,Abrasives & Sanding,3M Hookit Purple Finishing Film Disc 6in P1200,79.99,64.99,,4
MMM30669,3M,Abrasives & Sanding,3M Hookit Purple Finishing Film Disc 6in P1000,79.99,64.99,,4
MMM30670,3M,Abrasives & Sanding,3M Hookit Purple Finishing Disc 6in P800,79.99,64.99,,
MMM30804,3M,Abrasives & Sanding,3M Hookit Trizact Foam Abrasive Disc P8000 3in,74.99,59.99,,4
MMM30806,3M,Abrasives & Sanding,3M Hookit Trizact Foam Abrasive Disc P8000 6in,180.99,139.99,,4
MMM31370,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P40 6in,95.99,79.99,,4
MMM31371,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P80 6in,79.99,59.99,,4
MMM31372,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P120 6in,79.99,59.99,,4
MMM31373,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P150 6in,79.99,59.99,,4
MMM31374,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P180 6in,79.99,59.99,,4
MMM31481,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P220 6in,79.99,59.99,,4
MMM31482,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P240 6in,79.99,59.99,,4
MMM31483,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P320 6in,79.99,59.99,,4
MMM31484,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P400 6in,79.99,59.99,,4
MMM31485,3M,Abrasives & Sanding,3M Hookit Purple Clean Disc P500 (01810),79.99,59.99,,4
MMM31486,3M,Abrasives & Sanding,3M Hookit Purple Finishing Film Disc 6in P600 (30761),79.99,59.99,,4
MMM31487,3M,Abrasives & Sanding,3M Hookit Purple Finishing Film Disc 6in P800 (30760),79.99,59.99,,4
MMM31491,3M,Abrasives & Sanding,3M Cubitron II Hookit Abrasive Disc P1000 6in,95.99,69.99,,4
MMM33377,3M,Abrasives & Sanding,3M Cubitron II Roloc Fibre Disc P36 2in,63.99,39.99,,6
MMM33379,3M,Abrasives & Sanding,3M Cubitron II Roloc Fibre Disc P60 2in,53.99,39.99,,6
MMM33380,3M,Abrasives & Sanding,3M Cubitron II Roloc Fibre Disc P80 2in,53.99,39.99,,6
MMM33389,3M,Abrasives & Sanding,3M Cubitron II Roloc Fibre Disc P36 3in,63.99,39.99,,6
MMM33391,3M,Abrasives & Sanding,3M Cubitron II Roloc Fibre Disc P60 3in,67.99,39.99,,6
MMM33392,3M,Abrasives & Sanding,3M Cubitron II Roloc Fibre Disc P80 3in,67.99,39.99,,6
MMM33437,3M,Abrasives & Sanding,3M Cubitron II File Belt P36 3/8in,42.99,31.99,,5
MMM33439,3M,Abrasives & Sanding,3M Cubitron II File Belt P60 3/8in,42.99,31.99,,5
MMM33440,3M,Abrasives & Sanding,3M Cubitron II File Belt P80 3/8in,42.99,31.99,,5
MMM33443,3M,Abrasives & Sanding,3M Cubitron II File Belt P36 1/2in,47.99,31.99,,5
MMM33445,3M,Abrasives & Sanding,3M Cubitron II File Belt P60 1/2in,47.99,31.99,,5
MMM33446,3M,Abrasives & Sanding,3M Cubitron II File Belt P80 1/2in,47.99,31.99,,5
MMM33457,3M,Abrasives & Sanding,3M Cubitron II Cut-Off Wheel 3 x 1/16 x 3/8in (33455),69.99,49.99,,6
MMM33458,3M,Abrasives & Sanding,3M Cubitron II Cut-Off Wheel 3 x 1/25 x 1/8in (33456),69.99,49.99,,6
MMM33531,3M,Abrasives & Sanding,"3M Hookit Flexible Foam Abrasive Sheet P400, 5.5in x 6.8in",26.99,19.99,,6
MMM33532,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Sheet P600 5.5in x 6.8in,26.99,19.99,,6
MMM33533,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Sheet P800 5.5in x 6.8in,26.99,19.99,,6
MMM33534,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Sheet P1000 5.5in x 6.8in,26.99,19.99,,6
MMM33535,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Sheet P1200 5.5in x 6.8in,26.99,19.99,,6
MMM33536,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Sheet P1500 5.5in x 6.8in,26.99,19.99,,6
MMM33537,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Sheet P2000 5.5in x 6.8in,26.99,19.99,,6
MMM33538,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P400 6in 80pk,52.99,39.99,,4
MMM33539,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P600 6in 80pk,52.99,39.99,,4
MMM33540,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P800 6in 80pk,52.99,39.99,,4
MMM33541,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P1000 6in 80pk,52.99,39.99,,4
MMM33542,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P1200 6in 80pk,52.99,39.99,,4
MMM33543,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P1500 6in 80pk,52.99,39.99,,4
MMM33544,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P2000 6in 80pk,52.99,39.99,,4
MMM33550,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P800 3in 80pk,39.99,29.99,,4
MMM33551,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P1000 3in 80pk,39.99,29.99,,4
MMM33552,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P1200 3in 80pk,39.99,29.99,,4
MMM33553,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P1500 3in 80pk,39.99,29.99,,4
MMM33554,3M,Abrasives & Sanding,3M Hookit Flexible Foam Abrasive Disc P2000 3in 80pk,39.99,29.99,,4
MMM34440,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P40 70mm,69.99,52.99,,5
MMM34442,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P80 70mm,69.99,49.99,,5
MMM34444,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P120 70mm,69.99,39.99,,5
MMM34445,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P150 70mm,69.99,39.99,,5
MMM34446,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P180 70mm,69.99,39.99,,5
MMM34447,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P220 70mm,69.99,39.99,,5
MMM34448,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P240 70mm,69.99,39.99,,5
MMM34449,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P320 70mm,69.99,39.99,,5
MMM34450,3M,Abrasives & Sanding,3M Cubitron II Hookit Sanding Roll P400 70mm,69.99,39.99,,5
MMM34451,3M,Abrasives & Sanding,3M Cubitron II Hookit Clean Sanding Sheet Roll,67.99,39.99,,
MMM36170,3M,Abrasives & Sanding,3M Hookit Blue Disc P40 6in,58.99,49.99,,4
MMM36172,3M,Abrasives & Sanding,3M Hookit Blue Disc P80 6in,63.99,49.99,,4
MMM36174,3M,Abrasives & Sanding,3M Hookit Blue Disc P120 6in,58.99,49.99,,4
MMM36176,3M,Abrasives & Sanding,3M Hookit Blue Disc P180 6in,58.99,49.99,,4
MMM36178,3M,Abrasives & Sanding,3M Hookit Blue Disc P240 6in,58.99,49.99,,4
MMM36180,3M,Abrasives & Sanding,3M Hookit Blue Disc P320 6in,58.99,49.99,,4
MMM36181,3M,Abrasives & Sanding,3M Hookit Blue Disc P400 6in,58.99,49.99,,4
MMM36182,3M,Abrasives & Sanding,3M Hookit Blue Disc P500 6in,58.99,49.99,,4
MMM36183,3M,Abrasives & Sanding,3M Hookit Blue Disc P600 6in,58.99,49.99,,4
MMM36184,3M,Abrasives & Sanding,3M Hookit Blue Disc P800 6in,58.99,49.99,,4
MMM36189,3M,Abrasives & Sanding,3M Hookit Blue Roll P120,58.99,49.99,,4
MMM36195,3M,Abrasives & Sanding,3M Hookit Blue Roll P320,0.00,49.99,,
MMM36196,3M,Abrasives & Sanding,3M Hookit Blue Roll P400,58.99,49.99,,4
MMM36241,3M,Abrasives & Sanding,3M Hookit Blue No Hole Disc P80 6in,58.99,49.99,,4
MMM36244,3M,Abrasives & Sanding,3M Hookit Blue No Hole Disc P180 6in,58.99,49.99,,4
MMM36247,3M,Abrasives & Sanding,3M Hookit Blue No Hole Disc P320 6in,58.99,49.99,,4
