sku,brand,category,name,previous_price,sale_price,promo
"MMM02021","3M","Abrasives & Sanding","3M Wetordry Abrasive Sheet P1000",85.99,64.99,""
"MMM02022","3M","Abrasives & Sanding","3M Wetordry Abrasive Sheet P1200",74.99,64.99,""
"MMM02023","3M","Abrasives & Sanding","3M Wetordry Abrasive Sheet P1500",74.99,64.99,""
"MMM02035","3M","Abrasives & Sanding","3M Wetordry Abrasive Sheet P800",85.99,69.99,""
"MMM02036","3M","Abrasives & Sanding","3M Wetordry Abrasive Sheet P600",85.99,69.99,""
"MMM02038","3M","Abrasives & Sanding","3M Wetordry Abrasive Sheet P400",85.99,69.99,""
"MMM02044","3M","Abrasives & Sanding","3M Wetordry Abrasive Sheet P2000",85.99,64.99,""
"MMM02045","3M","Abrasives & Sanding","3M Wetordry Abrasive Sheet P2500",85.99,64.99,""
"MMM02085","3M","Abrasives & Sanding","3M 6in Trizact Hookit Foam Disc P3000",180.99,139.99,""
"MMM02087","3M","Abrasives & Sanding","3M 3in Trizact Hookit Foam Disc P3000",91.99,74.99,""
"MMM30662","3M","Abrasives & Sanding","3M Trizact Hookit Foam Disc P5000 6in",159.99,109.99,""
"MMM30666","3M","Abrasives & Sanding","3M Hookit Purple Finishing Film Disc 6in P2000",79.99,64.99,""
"MMM31370","3M","Abrasives & Sanding","3M Cubitron II Hookit Abrasive Disc P40 6in",95.99,79.99,""
"MMM31371","3M","Abrasives & Sanding","3M Cubitron II Hookit Abrasive Disc P80 6in",79.99,59.99,""
"MMM31372","3M","Abrasives & Sanding","3M Cubitron II Hookit Abrasive Disc P120 6in",79.99,59.99,""
"MMM31373","3M","Abrasives & Sanding","3M Cubitron II Hookit Abrasive Disc P150 6in",79.99,59.99,""
"MMM33538","3M","Abrasives & Sanding","3M Hookit Flexible Foam Abrasive Disc P400 6in",52.99,39.99,""
"MMM33539","3M","Abrasives & Sanding","3M Hookit Flexible Foam Abrasive Disc P600 6in",52.99,39.99,""
"MMM36170","3M","Abrasives & Sanding","3M Hookit Blue Disc P40 6in",58.99,49.99,""
"MMM36172","3M","Abrasives & Sanding","3M Hookit Blue Disc P80 6in",63.99,49.99,""
"MMM36174","3M","Abrasives & Sanding","3M Hookit Blue Disc P120 6in",58.99,49.99,""
"MMM36176","3M","Abrasives & Sanding","3M Hookit Blue Disc P180 6in",58.99,49.99,""
"MMM36180","3M","Abrasives & Sanding","3M Hookit Blue Disc P320 6in",58.99,49.99,""
"MMM05706","3M","Polishing & Compounding","3M Perfect-It Foam Compounding Pad",63.99,29.99,""
"MMM05707","3M","Polishing & Compounding","3M Perfect-It Foam Polishing Pad",58.99,35.99,""
"MMM05708","3M","Polishing & Compounding","3M Perfect-It Ultrafine Foam Polishing Pad",58.99,39.99,""
"MMM06068","3M","Polishing & Compounding","3M Perfect-It Ultrafine Machine Polish 946mL",74.99,69.99,""
